goos: windows
goarch: amd64
pkg: github.com/zelr0x/chainyq/deque
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkPushFront/container.list.List-12          	14634092	        78.80 ns/op	      55 B/op	       1 allocs/op
BenchmarkPushFront/container.list.List-12          	18786723	        72.56 ns/op	      55 B/op	       1 allocs/op
BenchmarkBlockBoundaryThrash-12                    	232208386	         5.269 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlockBoundaryThrash-12                    	234746145	         5.232 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlockBoundaryThrash-12                    	237904677	         5.134 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlockBoundaryThrash-12                    	232424854	         5.113 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlockBoundaryThrash-12                    	226116108	         5.104 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlockBoundaryThrash-12                    	230581572	         5.082 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlockBoundaryThrash-12                    	236640462	         5.234 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlockBoundaryThrash-12                    	238752992	         5.047 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlockBoundaryThrash-12                    	238483672	         5.140 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlockBoundaryThrash-12                    	239747785	         5.087 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque-12                    	125003736	         9.635 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque-12                    	122001494	         9.790 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque-12                    	124105765	         9.750 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque-12                    	124346223	         9.754 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque-12                    	123687750	         9.743 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque-12                    	125022516	         9.587 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque-12                    	124679740	         9.738 ns/op	       0 B/op	       0 allocs/op
